Feature_name,Coefficients_raw,Coefficients,Original_feature_name,Score_Calculation
Intercept,2.323288979539548,2.323,Intercept,573.0780430984274
addr_state.AK,0.0,0.0,addr_state,0.0
addr_state.AL,-0.13134012160795866,-0.131,addr_state,-20.98136284216657
addr_state.AR,-0.16600781748922389,-0.166,addr_state,-26.58707047175306
addr_state.AZ,0.0,0.0,addr_state,0.0
addr_state.CA,0.0,0.0,addr_state,0.0
addr_state.CO,0.30785111263285936,0.308,addr_state,49.330227140361096
addr_state.CT,0.08316440483549056,0.083,addr_state,13.29353523587653
addr_state.DC,0.0,0.0,addr_state,0.0
addr_state.DE,0.0,0.0,addr_state,0.0
addr_state.FL,-0.04092235864926497,-0.041,addr_state,-6.566686080372743
addr_state.GA,0.09765364525293196,0.098,addr_state,15.695981362842165
addr_state.HI,0.0,0.0,addr_state,0.0
addr_state.ID,0.0,0.0,addr_state,0.0
addr_state.IL,0.07111388446448945,0.071,addr_state,11.371578334304017
addr_state.IN,0.0,0.0,addr_state,0.0
addr_state.KS,0.09966702761631743,0.1,addr_state,16.016307513104252
addr_state.KY,0.0,0.0,addr_state,0.0
addr_state.LA,-0.21850617564491503,-0.219,addr_state,-35.07571345369831
addr_state.MA,0.0,0.0,addr_state,0.0
addr_state.MD,-0.06739195499570934,-0.067,addr_state,-10.730926033779848
addr_state.ME,0.0,0.0,addr_state,0.0
addr_state.MI,0.0,0.0,addr_state,0.0
addr_state.MN,0.0,0.0,addr_state,0.0
addr_state.MO,0.0,0.0,addr_state,0.0
addr_state.MS,-0.1365186479306881,-0.137,addr_state,-21.942341292952825
addr_state.MT,0.0,0.0,addr_state,0.0
addr_state.NC,0.0,0.0,addr_state,0.0
addr_state.ND,0.0,0.0,addr_state,0.0
addr_state.NE,0.0,0.0,addr_state,0.0
addr_state.NH,0.1656247000287696,0.166,addr_state,26.58707047175306
addr_state.NJ,-0.0911782107442998,-0.091,addr_state,-14.574839836924868
addr_state.NM,0.0,0.0,addr_state,0.0
addr_state.NV,-0.006372396647354783,-0.006,addr_state,-0.9609784507862551
addr_state.NY,-0.09727164267166265,-0.097,addr_state,-15.535818287711123
addr_state.OH,-0.03118983121324964,-0.031,addr_state,-4.965055329062318
addr_state.OK,-0.16225765194472958,-0.162,addr_state,-25.94641817122889
